site_ID,COUNT,AREA,MEAN
461_643,17755.000000000000000,15979499.999999986961484,1723.039065638560714
39_383,10848.000000000000000,9763199.999999992549419,2601.343348328693537
277_438,15742.000000000000000,14167799.999999988824129,987.068359627988457
364_616,17598.000000000000000,15838199.999999988824129,1606.815908518496826
365_127,17199.000000000000000,15479099.999999988824129,1075.118690006760744
510_320,16910.000000000000000,15218999.999999988824129,1017.519494690267265
309_607,9761.000000000000000,8784899.999999992549419,1425.751323939517761
564_675,7668.000000000000000,6901199.999999994412065,1036.749226102000193
631_535,17696.000000000000000,15926399.999999988824129,1469.819318147076046
135_165,13379.000000000000000,12041099.999999990686774,1422.306023496002581
406_489,16879.000000000000000,15191099.999999988824129,802.441538033901679
414_131,15559.000000000000000,14003099.999999988824129,1035.114452537361103
366_81,12509.000000000000000,11258099.999999990686774,929.459145550456924
140_163,16212.000000000000000,14590799.999999988824129,1184.850393333408192
268_233,18122.000000000000000,16309799.999999986961484,1236.434893572412193
460_659,18137.000000000000000,16323299.999999986961484,1495.871283619574569
135_48,15656.000000000000000,14090399.999999988824129,1399.194148876987128
41_541,15825.000000000000000,14242499.999999988824129,1456.031690900420472
603_530,17722.000000000000000,15949799.999999988824129,1284.358475402172644
508_102,18078.000000000000000,16270199.999999986961484,1087.351620703357639
272_231,18141.000000000000000,16326899.999999986961484,657.592078399278989
559_346,15556.000000000000000,14000399.999999988824129,1484.606920565511246
312_614,17668.000000000000000,15901199.999999988824129,1824.304230030399594
318_67,14304.000000000000000,12873599.999999990686774,1201.083928494378824
454_302,17933.000000000000000,16139699.999999986961484,1295.023718360249404
630_119,16727.000000000000000,15054299.999999988824129,1443.549597076470491
562_692,8106.000000000000000,7295399.999999994412065,763.174366822748993
405_89,17122.000000000000000,15409799.999999988824129,853.164801238115388
745_23,15794.000000000000000,14214599.999999988824129,1107.053928174775820
203_2,16397.000000000000000,14757299.999999988824129,1102.138581406396270
562_682,12312.000000000000000,11080799.999999990686774,914.389966326460240
137_162,17774.000000000000000,15996599.999999986961484,998.896725457685875
274_435,16088.000000000000000,14479199.999999988824129,1122.748605944395649
319_245,16545.000000000000000,14890499.999999988824129,1049.590864065430878
271_220,15883.000000000000000,14294699.999999988824129,886.712542751892897
173_583,14740.000000000000000,13265999.999999990686774,1453.448200067443850
765_147,14730.000000000000000,13256999.999999990686774,955.754456679994291
111_41,15020.000000000000000,13517999.999999988824129,1491.409990067362060
135_171,16061.000000000000000,14454899.999999988824129,1411.172461511901247
84_154,16718.000000000000000,15046199.999999988824129,2242.628766186403027
140_170,16611.000000000000000,14949899.999999988824129,1207.844166392894067
463_285,18021.000000000000000,16218899.999999986961484,1567.662406498450537
647_374,13715.000000000000000,12343499.999999990686774,1803.667018909013677
407_629,17518.000000000000000,15766199.999999988824129,965.536156090907070
557_517,17620.000000000000000,15857999.999999988824129,1328.452426604702396
633_707,14623.000000000000000,13160699.999999990686774,1391.373691285704581
268_228,17677.000000000000000,15909299.999999988824129,1554.719916545515389
452_646,18164.000000000000000,16347599.999999986961484,783.741090212959193
513_325,16710.000000000000000,15038999.999999988824129,1016.222393681943572
411_481,11836.000000000000000,10652399.999999992549419,1383.150672636709942
171_408,16570.000000000000000,14912999.999999988824129,1178.947473868335464
402_84,15631.000000000000000,14067899.999999988824129,1463.600124708362728
311_454,17956.000000000000000,16160399.999999986961484,1555.577944866663074
173_584,14376.000000000000000,12938399.999999990686774,1208.056846993331646
275_219,15108.000000000000000,13597199.999999988824129,994.178646851192411
201_410,17247.000000000000000,15522299.999999988824129,1026.670518656705326
366_10,12576.000000000000000,11318399.999999990686774,939.609539522165619
507_318,17446.000000000000000,15701399.999999988824129,1935.743790033639925
632_118,17227.000000000000000,15504299.999999988824129,1412.357475418054264
400_480,16477.000000000000000,14829299.999999988824129,1236.171759125531480
405_279,17079.000000000000000,15371099.999999988824129,761.926080403656442
199_197,17674.000000000000000,15906599.999999988824129,1719.645805021316392
404_484,18181.000000000000000,16362899.999999986961484,971.622504779683368
140_121,16233.000000000000000,14609699.999999988824129,1292.591186741515457
407_486,17172.000000000000000,15454799.999999988824129,1015.070594448157522
365_263,16956.000000000000000,15260399.999999988824129,992.643816630944912
411_487,17691.000000000000000,15921899.999999988824129,1490.474912346618567
506_671,17464.000000000000000,15717599.999999988824129,2142.948955696215307
562_686,10978.000000000000000,9880199.999999992549419,861.670721824453153
313_609,17778.000000000000000,16000199.999999986961484,1163.607825437268730
109_42,15257.000000000000000,13731299.999999988824129,1529.870124568366009
319_249,18060.000000000000000,16253999.999999986961484,975.881244623938755
314_64,17397.000000000000000,15657299.999999988824129,736.448485383934440
82_32,16275.000000000000000,14647499.999999988824129,2389.117514158089762
734_135,14859.000000000000000,13373099.999999990686774,1073.847608783342821
232_212,17571.000000000000000,15813899.999999988824129,1413.777213402896905
238_124,17044.000000000000000,15339599.999999988824129,912.335289690813624
356_620,17021.000000000000000,15318899.999999988824129,1269.622898826825121
88_29,10475.000000000000000,9427499.999999992549419,1068.528774326660368
354_473,15007.000000000000000,13506299.999999990686774,1437.678002374832658
735_16,16361.000000000000000,14724899.999999988824129,1397.194679321339208
757_28,16563.000000000000000,14906699.999999988824129,910.767964557542541
278_225,15383.000000000000000,13844699.999999988824129,1440.932905762418159
410_475,13314.000000000000000,11982599.999999990686774,1321.268258613816215
361_474,8675.000000000000000,7807499.999999994412065,1466.580677057534558
504_330,17889.000000000000000,16100099.999999986961484,1011.928230582051583
557_519,17116.000000000000000,15404399.999999988824129,1315.894463912879701
314_235,17408.000000000000000,15667199.999999988824129,750.447088530835231
169_574,16421.000000000000000,14778899.999999988824129,1161.626104480419144
406_631,15664.000000000000000,14097599.999999988824129,810.650903260986752
238_3,17591.000000000000000,15831899.999999988824129,787.109381471822189
451_287,14576.000000000000000,13118399.999999990686774,1673.103680035415437
84_153,16916.000000000000000,15224399.999999988824129,1921.706145860028528
240_589,14794.000000000000000,13314599.999999990686774,1361.292748539287913
645_709,14762.000000000000000,13285799.999999990686774,1555.788824565948744
405_277,17013.000000000000000,15311699.999999988824129,792.484688604305234
508_326,18061.000000000000000,16254899.999999986961484,1231.396352583872158
107_399,12328.000000000000000,11095199.999999990686774,1948.028976434244669
504_328,17491.000000000000000,15741899.999999988824129,1079.423365691480512
514_312,15600.000000000000000,14039999.999999988824129,1248.876325472316694
139_572,16683.000000000000000,15014699.999999988824129,1286.259971999596019
270_227,18068.000000000000000,16261199.999999986961484,1399.117185946083964
501_104,17195.000000000000000,15475499.999999988824129,1450.933831413958160
65_141,15170.000000000000000,13652999.999999988824129,913.294253844813966
507_334,17920.000000000000000,16127999.999999986961484,1211.706233286002316
365_128,17219.000000000000000,15497099.999999988824129,1001.854607806567628
271_223,16804.000000000000000,15123599.999999988824129,631.476690118467786
235_417,17982.000000000000000,16183799.999999986961484,1354.164630602656871
408_284,16733.000000000000000,15059699.999999988824129,1359.259549926472346
318_242,15442.000000000000000,13897799.999999988824129,1201.851099191899266
400_491,16896.000000000000000,15206399.999999988824129,1382.809984895315438
232_56,17430.000000000000000,15686999.999999988824129,1419.077992387731001
41_384,16075.000000000000000,14467499.999999988824129,1210.318641925057364
563_683,14409.000000000000000,12968099.999999990686774,965.437742555337195
274_439,15247.000000000000000,13722299.999999988824129,1128.535351050502413
553_552,17079.000000000000000,15371099.999999988824129,1321.894372750767843
88_37,11896.000000000000000,10706399.999999992549419,1088.441179430723651
65_145,13750.000000000000000,12374999.999999990686774,961.208719034090336
169_573,17289.000000000000000,15560099.999999988824129,1140.325879198202529
275_60,13737.000000000000000,12363299.999999990686774,1067.012641982827063
609_357,8454.000000000000000,7608599.999999994412065,681.494218808695564
83_395,14340.000000000000000,12905999.999999990686774,2542.413000203641332
310_453,16739.000000000000000,15065099.999999988824129,1275.559106981863351
501_13,17041.000000000000000,15336899.999999988824129,1416.487240112315476
453_549,18115.000000000000000,16303499.999999986961484,758.810888358528928
453_498,18188.000000000000000,16369199.999999986961484,746.012832400403340
460_656,18028.000000000000000,16225199.999999986961484,1562.752568956112327
232_54,17113.000000000000000,15401699.999999988824129,1438.895097345904105
656_712,15648.000000000000000,14083199.999999988824129,1926.826882495467771
409_483,17449.000000000000000,15704099.999999988824129,1431.657908771774601
607_696,16066.000000000000000,14459399.999999988824129,913.652018471671909
409_476,17500.000000000000000,15749999.999999988824129,1424.924333945138869
453_507,18104.000000000000000,16293599.999999986961484,762.450201370418313
312_451,17796.000000000000000,16016399.999999986961484,1701.750196951216822
271_221,16061.000000000000000,14454899.999999988824129,827.669365434151246
454_297,18007.000000000000000,16206299.999999986961484,1183.439873075142714
356_618,17136.000000000000000,15422399.999999988824129,1200.855760048083084
141_167,15097.000000000000000,13587299.999999988824129,985.213188895564031
233_419,15963.000000000000000,14366699.999999988824129,1355.474367059636279
63_146,14963.000000000000000,13466699.999999990686774,1476.097985668727915
745_22,15252.000000000000000,13726799.999999988824129,1056.544003850545096
745_25,16668.000000000000000,15001199.999999988824129,1048.669889285747331
404_621,18047.000000000000000,16242299.999999986961484,989.549531705084746
316_126,16921.000000000000000,15228899.999999988824129,1283.371696265211995
137_47,17784.000000000000000,16005599.999999986961484,1003.143805764250715
84_151,17180.000000000000000,15461999.999999988824129,2105.787368538605733
603_699,17884.000000000000000,16095599.999999986961484,1223.272646937908121
87_398,13813.000000000000000,12431699.999999990686774,1276.679028356323897
242_599,15949.000000000000000,14354099.999999988824129,1203.177302990118733
605_522,17997.000000000000000,16197299.999999986961484,1458.714797411506197
236_205,17421.000000000000000,15678899.999999988824129,1302.731379758654839
647_373,15927.000000000000000,14334299.999999988824129,1600.453622027722304
