site_ID,Elevation_m
413_280,413.3999939
406_631,285.8999939
407_490,501.5
401_632,237.1000061
407_633,425.8999939
402_281,174.8999939
414_90,60.7000008
406_634,291.2000122
408_282,1414.5
412_635,1169.400024
410_636,1058.699951
400_637,61.5999985
400_638,76.3000031
406_639,319.6000061
400_640,59.2000008
400_491,82.4000015
414_283,78.1999969
408_91,1507
408_284,1399.800049
402_92,149.1999969
414_93,73.1999969
410_641,1019.599976
451_94,242.1999969
459_547,495.1000061
461_492,692.5999756
459_493,572.7999878
450_642,6
463_285,702.5999756
461_643,959.4000244
464_494,176.3999939
451_286,71.6999969
451_287,156.1000061
451_132,103.4000015
460_495,1451.099976
463_288,555.0999756
451_95,130.5
457_644,1028
465_496,148.5
461_645,1269.699951
452_646,265.6000061
450_647,11.8000002
457_497,906.5999756
456_96,1240.199951
457_648,915.5
462_289,459.7999878
453_498,354.7999878
464_499,136.1000061
450_649,24.8999996
457_650,826.2999878
461_651,1407.900024
465_500,146.6999969
456_290,1043
459_501,493.2000122
462_291,647.9000244
458_97,529.4000244
458_292,482
450_502,4.3000002
452_652,176.1000061
463_293,624.2000122
464_503,72.3000031
458_294,493.5
459_504,712.7999878
460_653,1412.400024
459_548,595.5999756
452_654,318.5
456_295,989.9000244
458_98,410.7999878
453_505,445.1000061
451_296,65.0999985
460_506,1421.199951
453_549,363.2999878
455_655,923.4000244
454_297,291.5
453_507,406.3999939
460_656,1370.400024
458_298,371.8999939
455_657,923
458_99,361.7000122
454_299,337.7000122
455_658,1002.900024
456_300,802.5999756
462_301,383.5
454_100,370.3999939
454_302,344.7999878
455_508,1130
465_509,114.6999969
460_659,1293.900024
512_12,846.7999878
513_303,566.0999756
506_660,949.0999756
511_661,1106
511_550,1100
509_662,566.2000122
513_304,693.5
514_305,312.1000061
515_306,350.1000061
505_307,766.7999878
514_308,423.2000122
501_309,119.4000015
505_101,735.2000122
512_310,722.2999878
502_663,42.2999992
512_311,540.7999878
506_510,936.9000244
514_312,629.7999878
510_313,1412.199951
509_664,1110.400024
512_314,532.2000122
510_315,1144.699951
515_316,384.1000061
505_317,641.2999878
507_318,574.5999756
502_665,64.8000031
503_666,235.8999939
502_551,52.4000015
501_319,147.6999969
510_320,551
509_667,1391.300049
509_511,1412.099976
508_102,669.2999878
508_321,670.2999878
507_322,571.2999878
515_323,499.7000122
510_133,431.6000061
508_324,675.0999756
506_560,914.5
506_668,794.7000122
513_325,297.6000061
508_326,756.0999756
516_327,91.1999969
503_669,353.3999939
504_328,387
516_329,67.3000031
504_330,423.3999939
504_103,457.7999878
503_670,97.5
506_671,833.5999756
501_331,93.8000031
511_512,749.5999756
504_134,371.3999939
504_332,362.3999939
511_672,806
511_673,944.2999878
505_333,266.3999939
501_13,179.6999969
507_334,409.1000061
516_335,90.9000015
502_674,81
501_104,86
564_675,116.9000015
561_336,629.7000122
557_513,337.7000122
553_676,104.1999969
561_337,698.0999756
553_552,125.0999985
563_677,156.8000031
556_514,274.2999878
552_338,78.6999969
555_339,189.6999969
555_105,186.3000031
560_678,189.5
562_515,88.5
563_516,160.6000061
563_679,162.1999969
564_680,79.9000015
552_340,24.3999996
558_341,236.5
558_342,234.3000031
561_343,499.3999939
558_344,228.6000061
554_106,356
554_345,334
565_681,63.9000015
559_346,284.2000122
557_517,360.1000061
553_518,105.6999969
562_682,205.3999939
563_683,183.8000031
553_684,144.6999969
561_107,432.5
555_347,168.6000061
558_108,738.7999878
557_519,304.3999939
554_348,182.3999939
559_349,284.5
562_686,170.8999939
553_687,184.6000061
565_688,60.2999992
560_689,200.8999939
552_350,178.8000031
556_520,830.4000244
565_690,86.8000031
555_109,221.5
554_110,202.3000031
560_691,557.5999756
554_351,234
559_352,225.3999939
555_353,266.2999878
556_553,521.4000244
556_521,562.9000244
562_692,34.2999992
605_522,540.0999756
605_523,566.5999756
605_693,450.2000122
605_554,391.7999878
605_694,473
603_695,266.6000061
605_524,401
606_111,212.8000031
607_696,168.8000031
605_697,333.2000122
609_354,8.8000002
606_355,196.8000031
608_356,99.0999985
609_112,52.4000015
607_698,98
609_357,3.0999999
603_699,367.1000061
601_113,81.3000031
609_358,33.0999985
602_525,401.2999878
604_555,344.3999939
602_526,88.3000031
604_527,224.8999939
604_528,374
601_359,137.5
600_529,21.2000008
603_530,341.3999939
608_360,155.6999969
601_361,172.8000031
608_114,57.7000008
607_561,92.5
607_700,92.6999969
606_362,280.7000122
606_363,230.8000031
608_115,298.3999939
607_531,48.9000015
603_701,287.5
605_556,175.6000061
600_702,28.8999996
602_532,256.6000061
608_364,333.8999939
605_557,149.3000031
601_365,218.6999969
601_116,30.2999992
604_533,186
600_703,25.8999996
600_704,68.3000031
630_117,113.0999985
630_366,198
631_534,121.5999985
632_367,206.1999969
633_705,129.1000061
632_368,167.8999939
632_118,255
630_369,146.3000031
633_706,145.6000061
630_119,41.5999985
633_707,144.5
631_535,342
633_536,206.1000061
630_120,122.5
630_370,101.0999985
631_537,257.2000122
632_371,130.5
647_372,129.3999939
646_538,67.8000031
647_373,210.5
647_374,112.8000031
646_539,114.4000015
646_540,47.9000015
645_708,47.5999985
645_562,40
645_709,26.5
645_710,39.4000015
656_563,242
656_711,207.8999939
656_712,171.6000061
656_713,83.6999969
