site_ID,Shape_Area
40_139,16379989.772901125252247
412_477,16379995.453192483633757
82_30,16379987.880389215424657
40_140,16379988.516389165073633
560_691,16379991.701352622359991
608_360,13370872.296355839818716
605_523,16379984.551127312704921
354_468,16379992.147620318457484
632_368,16376387.587367299944162
315_446,16379995.097259875386953
556_514,16379986.956557361409068
360_80,16379993.224998885765672
401_627,16379991.415503501892090
199_183,16379985.577716760337353
514_308,16379994.790236454457045
451_286,16379987.625188846141100
605_556,16379984.548375902697444
509_662,16379990.252806367352605
171_581,16379992.109827918931842
279_426,16379990.651978030800819
556_520,16379988.817033059895039
108_402,16379992.468510547652841
278_224,16379990.076292125508189
352_79,9044609.105414774268866
736_377,16379992.804592017084360
242_423,16379990.719658348709345
237_202,16331393.715522285550833
204_51,16379990.588926088064909
601_365,16379992.546527467668056
363_463,16379989.577021587640047
240_418,16379989.978662520647049
319_69,16379993.323005050420761
239_592,16379989.140128772705793
136_568,16379989.798169299960136
736_375,16379990.794504562392831
320_448,16379991.077733693644404
268_62,14430481.221901927143335
414_283,16379991.669803893193603
404_625,16379992.127077022567391
361_462,16379985.953652130439878
278_125,16379995.049921261146665
237_214,16379990.578874144703150
604_555,16379990.027277637273073
357_254,16379992.249908108264208
111_43,16379993.205670278519392
463_288,16379990.539952429011464
139_407,16379987.733963849022985
647_372,16379989.184804031625390
556_553,16379992.167091848328710
411_485,16379989.397687811404467
86_149,16379991.583717329427600
554_345,16359097.000617600977421
316_247,16364692.087009618058801
510_315,16379989.029518133029342
450_649,16379992.330690870061517
269_542,16379984.801203763112426
83_397,16338592.260675268247724
407_633,16379990.621702319011092
564_680,16379992.280566621571779
508_324,16379994.085931424051523
234_422,16379991.478894311934710
86_150,16379990.313921667635441
503_669,16379989.289301356300712
460_506,16379991.166776042431593
365_258,15907533.625635679811239
270_61,16379990.643308941274881
515_323,16379991.518187453970313
462_289,16379991.779993688687682
269_604,16379981.979305181652308
240_414,16141490.406952418386936
312_613,16379989.900330025702715
355_457,16379987.933261923491955
509_511,16379990.952147323638201
456_300,16361092.454566881060600
450_642,15830862.270506538450718
366_77,12717564.682668270543218
279_603,16379988.379077924415469
277_434,16379993.479850452393293
241_207,16379991.560221528634429
139_406,16379990.447829630225897
309_611,16378489.274902204051614
273_432,16379988.246317774057388
63_144,16379989.990884983912110
604_533,16379991.713058635592461
206_411,16379990.685318013653159
21_15,16379994.189563350751996
405_86,16379990.022539393976331
632_371,16379992.131861502304673
204_195,16379990.696523414924741
408_282,16379992.465401286259294
554_106,16269866.795324346050620
64_391,16379991.093470599502325
273_429,16379988.502273974940181
364_615,16379993.983085967600346
88_34,16379991.362686470150948
509_667,16379990.477965869009495
137_173,16379993.113008389249444
352_75,8565919.342714874073863
203_189,16366492.171030925586820
609_354,15925098.605117976665497
64_392,16379992.042064113542438
512_310,16379989.144202141091228
274_433,16379990.706403896212578
205_192,15573273.137010050937533
87_393,16379990.239308252930641
408_85,16379989.172073649242520
360_252,16379984.574625672772527
310_452,16379989.584794450551271
357_259,16379994.535761632025242
515_306,16379992.761647026985884
360_261,16379987.812792157754302
167_177,16379991.829327605664730
606_362,14222865.049765078350902
451_132,16379990.832603983581066
320_450,16379993.780569963157177
502_663,16379989.312238145619631
503_670,16379989.789646439254284
241_215,16379989.232909826561809
139_570,16379994.947654575109482
321_248,16379992.822429073974490
645_708,16379989.603212682530284
765_152,16364691.356850663200021
268_222,16379989.712336627766490
269_601,16379989.786418396979570
457_497,16197317.287244822829962
364_619,16379989.076539399102330
736_376,16379993.117931455373764
510_133,16379989.368824694305658
605_557,15835579.578751236200333
656_711,16379989.975679311901331
168_176,16379991.416936941444874
631_534,16379988.319243168458343
561_343,16379991.508501794189215
565_688,11480041.537538740783930
459_501,16379989.156606685370207
232_209,16379992.475470593199134
239_591,16379991.854682693257928
234_594,16379992.342654755339026
275_218,16379989.899011783301830
600_703,14912243.270513955503702
555_339,16379988.962657662108541
504_134,16379984.363998368382454
504_332,16379984.696859160438180
600_702,15016204.861648961901665
240_593,16141493.580283407121897
747_24,15602446.252105636522174
85_36,16379991.688447549939156
401_622,16379994.965722430497408
364_459,16379990.061159046366811
757_27,16379992.159741276875138
407_624,16379993.798238459974527
206_586,16310776.334678487852216
354_461,16379988.272198699414730
507_322,16379989.389913743361831
172_576,16379992.772820550948381
511_550,16349692.277970504015684
241_52,16315188.768308714032173
559_349,13717504.620480602607131
501_331,16379991.455237809568644
735_19,16379991.097340019419789
403_271,16379989.466019671410322
315_444,16379991.330932559445500
503_666,16379995.183305388316512
171_575,16331390.797979617491364
407_490,16379990.432640129700303
172_577,16379988.356791116297245
137_168,16379989.875920705497265
553_676,16363791.195412507280707
238_213,16379991.637735152617097
412_544,16379986.056461894884706
352_71,8550300.410704495385289
601_116,16379992.629041410982609
353_265,16379991.412813922390342
557_513,16379989.092959908768535
412_630,16379986.888233646750450
632_367,16379987.994845082983375
607_561,13346965.376898523420095
412_626,16379984.665207579731941
454_299,16379989.661609912291169
21_14,16379991.213962165638804
