site_ID,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
554_348,73,951.000000000000000,855900.000000000000000,1,1,0,1.000000000000000,0.000000000000000,951.000000000000000,1,1,951,5.8776002,1,951,5.8776002,1,1
352_264,74,832.000000000000000,748800.000000000000000,1,1,0,1.000000000000000,0.000000000000000,832.000000000000000,1,1,832,5.3309002,1,832,5.3309002,1,1
171_582,75,1449.000000000000000,1304100.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1449.000000000000000,1,1,1449,7.9554000,1,1449,7.9554000,1,1
275_5,76,11.000000000000000,9900.000000000000000,1,1,0,1.000000000000000,0.000000000000000,11.000000000000000,1,1,11,0.0834000,1,11,0.0834000,1,1
241_210,77,535.000000000000000,481500.000000000000000,1,1,0,1.000000000000000,0.000000000000000,535.000000000000000,1,1,535,3.0014000,1,535,3.0014000,1,1
560_689,78,801.000000000000000,720900.000000000000000,1,1,0,1.000000000000000,0.000000000000000,801.000000000000000,1,1,801,4.4678998,1,801,4.4678998,1,1
563_516,80,3256.000000000000000,2930400.000000000000000,1,1,0,1.000000000000000,0.000000000000000,3256.000000000000000,1,1,3256,18.0939007,1,3256,18.0939007,1,1
21_18,81,247.000000000000000,222300.000000000000000,1,1,0,1.000000000000000,0.000000000000000,247.000000000000000,1,1,247,1.3558000,1,247,1.3558000,1,1
451_94,82,85.000000000000000,76500.000000000000000,1,1,0,1.000000000000000,0.000000000000000,85.000000000000000,1,1,85,1.2380000,1,85,1.2380000,1,1
608_364,83,690.000000000000000,621000.000000000000000,1,1,0,1.000000000000000,0.000000000000000,690.000000000000000,1,1,690,5.7038999,1,690,5.7038999,1,1
412_482,84,53.000000000000000,47700.000000000000000,1,1,0,1.000000000000000,0.000000000000000,53.000000000000000,1,1,53,0.7411000,1,53,0.7411000,1,1
272_229,85,2.000000000000000,1800.000000000000000,1,1,0,1.000000000000000,0.000000000000000,2.000000000000000,1,1,2,0.0140000,1,2,0.0140000,1,1
365_129,86,1237.000000000000000,1113300.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1237.000000000000000,1,1,1237,6.8744998,1,1237,6.8744998,1,1
204_198,87,501.000000000000000,450900.000000000000000,1,1,0,1.000000000000000,0.000000000000000,501.000000000000000,1,1,501,5.2399998,1,501,5.2399998,1,1
459_493,89,8.000000000000000,7200.000000000000000,1,1,0,1.000000000000000,0.000000000000000,8.000000000000000,1,1,8,0.2436000,1,8,0.2436000,1,1
234_596,91,1058.000000000000000,952200.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1058.000000000000000,1,1,1058,5.8147998,1,1058,5.8147998,1,1
82_33,92,858.000000000000000,772200.000000000000000,1,1,0,1.000000000000000,0.000000000000000,858.000000000000000,1,1,858,4.7157998,1,858,4.7157998,1,1
275_58,93,9.000000000000000,8100.000000000000000,1,1,0,1.000000000000000,0.000000000000000,9.000000000000000,1,1,9,0.0695000,1,9,0.0695000,1,1
631_537,94,716.000000000000000,644400.000000000000000,1,1,0,1.000000000000000,0.000000000000000,716.000000000000000,1,1,716,3.9295001,1,716,3.9295001,1,1
605_693,95,728.000000000000000,655200.000000000000000,1,1,0,1.000000000000000,0.000000000000000,728.000000000000000,1,1,728,4.7430000,1,728,4.7430000,1,1
205_50,96,731.000000000000000,657900.000000000000000,1,1,0,1.000000000000000,0.000000000000000,731.000000000000000,1,1,731,5.1559000,1,731,5.1559000,1,1
561_107,97,413.000000000000000,371700.000000000000000,1,1,0,1.000000000000000,0.000000000000000,413.000000000000000,1,1,413,2.2630999,1,413,2.2630999,1,1
85_35,98,784.000000000000000,705600.000000000000000,1,1,0,1.000000000000000,0.000000000000000,784.000000000000000,1,1,784,4.7802000,1,784,4.7802000,1,1
400_638,99,1098.000000000000000,988200.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1098.000000000000000,1,1,1098,6.0187001,1,1098,6.0187001,1,1
275_59,100,5.000000000000000,4500.000000000000000,1,1,0,1.000000000000000,0.000000000000000,5.000000000000000,1,1,5,0.0448000,1,5,0.0448000,1,1
199_199,102,965.000000000000000,868500.000000000000000,1,1,0,1.000000000000000,0.000000000000000,965.000000000000000,1,1,965,5.2916999,1,965,5.2916999,1,1
355_458,103,690.000000000000000,621000.000000000000000,1,1,0,1.000000000000000,0.000000000000000,690.000000000000000,1,1,690,4.7012000,1,690,4.7012000,1,1
561_337,104,566.000000000000000,509400.000000000000000,1,1,0,1.000000000000000,0.000000000000000,566.000000000000000,1,1,566,3.1340001,1,566,3.1340001,1,1
512_314,105,438.000000000000000,394200.000000000000000,1,1,0,1.000000000000000,0.000000000000000,438.000000000000000,1,1,438,2.6229000,1,438,2.6229000,1,1
408_275,106,28.000000000000000,25200.000000000000000,1,1,0,1.000000000000000,0.000000000000000,28.000000000000000,1,1,28,0.5224000,1,28,0.5224000,1,1
459_548,107,8.000000000000000,7200.000000000000000,1,1,0,1.000000000000000,0.000000000000000,8.000000000000000,1,1,8,0.0578000,1,8,0.0578000,1,1
107_401,108,386.000000000000000,347400.000000000000000,1,1,0,1.000000000000000,0.000000000000000,386.000000000000000,1,1,386,2.1320000,1,386,2.1320000,1,1
112_157,109,1052.000000000000000,946800.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1052.000000000000000,1,1,1052,5.7793002,1,1052,5.7793002,1,1
403_272,110,450.000000000000000,405000.000000000000000,1,1,0,1.000000000000000,0.000000000000000,450.000000000000000,1,1,450,2.4662001,1,450,2.4662001,1,1
563_677,111,1380.000000000000000,1242000.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1380.000000000000000,1,1,1380,7.5798998,1,1380,7.5798998,1,1
321_237,112,1359.000000000000000,1223100.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1359.000000000000000,1,1,1359,7.5103998,1,1359,7.5103998,1,1
403_270,113,628.000000000000000,565200.000000000000000,1,1,0,1.000000000000000,0.000000000000000,628.000000000000000,1,1,628,3.4466000,1,628,3.4466000,1,1
765_148,114,1015.000000000000000,913500.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1015.000000000000000,1,1,1015,5.6233001,1,1015,5.6233001,1,1
756_389,115,1052.000000000000000,946800.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1052.000000000000000,1,1,1052,5.8982000,1,1052,5.8982000,1,1
