site_ID,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
355_469,37,697.000000000000000,627300.000000000000000,1,1,0,1.000000000000000,0.000000000000000,697.000000000000000,1,1,697,3.8285999,1,697,3.8285999,1,1
270_7,38,65.000000000000000,58500.000000000000000,1,1,0,1.000000000000000,0.000000000000000,65.000000000000000,1,1,65,1.3303000,1,65,1.3303000,1,1
511_512,39,222.000000000000000,199800.000000000000000,1,1,0,1.000000000000000,0.000000000000000,222.000000000000000,1,1,222,1.2369000,1,222,1.2369000,1,1
413_269,40,345.000000000000000,310500.000000000000000,1,1,0,1.000000000000000,0.000000000000000,345.000000000000000,1,1,345,1.9079000,1,345,1.9079000,1,1
353_266,41,982.000000000000000,883800.000000000000000,1,1,0,1.000000000000000,0.000000000000000,982.000000000000000,1,1,982,5.3976998,1,982,5.3976998,1,1
353_260,43,1246.000000000000000,1121400.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1246.000000000000000,1,1,1246,6.9457998,1,1246,6.9457998,1,1
363_466,47,68.000000000000000,61200.000000000000000,1,1,0,1.000000000000000,0.000000000000000,68.000000000000000,1,1,68,0.6496000,1,68,0.6496000,1,1
656_713,48,1262.000000000000000,1135800.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1262.000000000000000,1,1,1262,8.4670000,1,1262,8.4670000,1,1
364_470,49,1453.000000000000000,1307700.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1453.000000000000000,1,1,1453,8.7434998,1,1453,8.7434998,1,1
451_296,51,784.000000000000000,705600.000000000000000,1,1,0,1.000000000000000,0.000000000000000,784.000000000000000,1,1,784,5.6517000,1,784,5.6517000,1,1
106_40,52,647.000000000000000,582300.000000000000000,1,1,0,1.000000000000000,0.000000000000000,647.000000000000000,1,1,647,3.5662999,1,647,3.5662999,1,1
320_455,53,251.000000000000000,225900.000000000000000,1,1,0,1.000000000000000,0.000000000000000,251.000000000000000,1,1,251,1.3780000,1,251,1.3780000,1,1
85_31,54,655.000000000000000,589500.000000000000000,1,1,0,1.000000000000000,0.000000000000000,655.000000000000000,1,1,655,3.6159999,1,655,3.6159999,1,1
505_101,55,428.000000000000000,385200.000000000000000,1,1,0,1.000000000000000,0.000000000000000,428.000000000000000,1,1,428,2.3708999,1,428,2.3708999,1,1
278_226,56,897.000000000000000,807300.000000000000000,1,1,0,1.000000000000000,0.000000000000000,897.000000000000000,1,1,897,4.9450998,1,897,4.9450998,1,1
279_600,57,757.000000000000000,681300.000000000000000,1,1,0,1.000000000000000,0.000000000000000,757.000000000000000,1,1,757,5.0226002,1,757,5.0226002,1,1
553_687,58,833.000000000000000,749700.000000000000000,1,1,0,1.000000000000000,0.000000000000000,833.000000000000000,1,1,833,4.6603999,1,833,4.6603999,1,1
461_651,59,217.000000000000000,195300.000000000000000,1,1,0,1.000000000000000,0.000000000000000,217.000000000000000,1,1,217,2.3799000,1,217,2.3799000,1,1
138_566,60,1922.000000000000000,1729800.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1922.000000000000000,1,1,1922,10.6204996,1,1922,10.6204996,1,1
605_554,61,754.000000000000000,678600.000000000000000,1,1,0,1.000000000000000,0.000000000000000,754.000000000000000,1,1,754,4.8891001,1,754,4.8891001,1,1
237_206,62,83.000000000000000,74700.000000000000000,1,1,0,1.000000000000000,0.000000000000000,83.000000000000000,1,1,83,1.1770999,1,83,1.1770999,1,1
168_174,63,1037.000000000000000,933300.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1037.000000000000000,1,1,1037,5.7333999,1,1037,5.7333999,1,1
400_637,64,849.000000000000000,764100.000000000000000,1,1,0,1.000000000000000,0.000000000000000,849.000000000000000,1,1,849,4.7631998,1,849,4.7631998,1,1
608_114,65,817.000000000000000,735300.000000000000000,1,1,0,1.000000000000000,0.000000000000000,817.000000000000000,1,1,817,4.8214998,1,817,4.8214998,1,1
